rbd,nombre,región,comuna,cod_edu,rama_edu,total.lectura,promedio.lectura,mediana.lectura,desviación.lectura,total.matemática,promedio.matemática,mediana.matemática,desviación.matemática,total.historia,promedio.historia,mediana.historia,desviación.historia,total.ciencias,promedio.ciencias,mediana.ciencias,desviación.ciencias,total.nem,promedio.nem,mediana.nem,desviación.nem,total.ranking,promedio.ranking,mediana.ranking,desviación.ranking,tipo.dependencia,nivel.socioeconómico,ruralidad
9829,COLEGIO MIGUEL DE CERVANTES,REGION METROPOLITANA DE SANTIAGO,LA CISTERNA,610,TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL TECNICA Y SERVICIOS,27,402,390,83.67,27,463.4,466,54.67,7,403.7,424,66.48,24,391.6,378,77,41,555.2,539,94.96,41,577.2,552,117.68,Particular subvencionado,Medio Bajo,Urbano
8506,INSTITUTO COMERCIAL ELIODORO DOMINGUEZ DOMINGUEZ,REGION METROPOLITANA DE SANTIAGO,SANTIAGO,410,TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL COMERCIAL,118,471.4,468,96.72,116,463.3,456,83.53,64,480.2,472,89.16,75,440.3,458,81.3,148,499,494,97.95,148,528.4,506,130.83,Corporación de administración delegada,Medio Bajo,Urbano
12309,COLEGIO PIRAMIDE,REGION DE VALPARAISO,SAN FELIPE,310,CIENTÍFICO-HUMANISTA DIURNO,33,469.5,478,91.11,34,463.3,476,96.11,21,462.4,465,102.8,23,449.9,449,73.09,38,644.9,629,127.29,38,651.9,629.5,133.21,Particular subvencionado,Medio,Urbano
3940,LICEO DE YUNGAY,REGION DE ÑUBLE,YUNGAY,310,CIENTÍFICO-HUMANISTA DIURNO,39,465.8,458,91.76,39,463.3,466,99.32,21,445.6,442,107.84,33,451.2,454,99.34,43,621.7,621,109.35,43,638.9,627,127.04,Municipal DAEM,Bajo,Urbano
26466,ESCUELA BASICA ELIODORO MATTE OSSA,REGION METROPOLITANA DE SANTIAGO,SAN BERNARDO,410,TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL COMERCIAL,44,455,438,86.08,42,463.3,476,85.44,38,437.7,457,86.14,17,418.8,419,70.34,58,549.6,548,71.7,58,563.6,554,87.93,Particular subvencionado,Medio Bajo,Urbano
5565,INSTITUTO SUPERIOR DE COMERCIO,REGION DE LA ARAUCANIA,TEMUCO,410,TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL COMERCIAL,24,449.4,435.5,94.63,24,463.3,471,62.72,15,464.7,465,70,14,431.4,429,67.6,31,597.5,605,103.77,31,652.5,663,146.02,Municipal DAEM,Medio Bajo,Urbano
31274,COLEGIO SANTA SOFIA,REGION METROPOLITANA DE SANTIAGO,LA PINTANA,310,CIENTÍFICO-HUMANISTA DIURNO,17,447.9,468,86.57,17,463.3,476,99.86,9,466.2,479,121.17,8,440,453,99.16,25,539,534,84.81,25,552.8,536,102.71,Particular subvencionado,Medio Bajo,Urbano
13383,COLEGIO CAMBRIDGE SCHOOL,REGION DE COQUIMBO,SALAMANCA,310,CIENTÍFICO-HUMANISTA DIURNO,29,446.8,428,87.96,29,463.3,485,96.6,25,485.8,497,81,23,452,449,85.81,33,580.1,571,119.38,33,595.3,578,135.41,Particular subvencionado,Medio Bajo,Urbano
12004,LICEO POLITECNICO CURANILAHUE,REGION DEL BIOBIO,CURANILAHUE,510,TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL INDUSTRIAL,3,308.7,288,110.46,3,463.3,493,58.45,2,391.5,391.5,58.69,2,424,424,19.8,6,545.2,579,114.15,6,576.2,611,134.19,Particular subvencionado,Bajo,Urbano
25853,COLEGIO POLIVALENTE NOVO HORIZONTE,REGION METROPOLITANA DE SANTIAGO,QUILICURA,610,TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL TECNICA Y SERVICIOS,24,455,455.5,80.66,24,463.2,456,83.63,6,449.7,437,31.87,22,427.8,433.5,83.11,28,572.9,575.5,101.51,28,614.8,613.5,134.26,Particular subvencionado,Medio Bajo,Urbano
5590,COMPLEJO EDUC. UN AMANECER EN LA ARAUCANIA,REGION DE LA ARAUCANIA,TEMUCO,310,CIENTÍFICO-HUMANISTA DIURNO,27,453,453,91.01,27,463.2,466,97.42,17,508.2,503,84.48,13,467.4,462,86.58,27,587.2,588,111.06,27,638.1,633,156.23,Municipal DAEM,Medio Bajo,Urbano
9058,INSTITUTO SUPERIOR DE COMERCIO DIEGO PORT,REGION METROPOLITANA DE SANTIAGO,ÑUÑOA,410,TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL COMERCIAL,48,455,465.5,87.94,48,463.1,471,72.77,36,446.3,450,70.43,19,473.1,458,71.38,59,572.1,572,95.53,59,588.6,584,111.4,Corporación de administración delegada,Medio Bajo,Urbano
9957,LICEO INDUSTRIAL ALBERTO WIDMER,REGION METROPOLITANA DE SANTIAGO,MAIPU,510,TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL INDUSTRIAL,98,442.7,443,89.03,97,463.1,485,81.11,55,450.5,450,80.6,53,450.8,449,75.54,122,572.2,575.5,106.19,122,596.6,599.5,128,Particular subvencionado,Medio Bajo,Urbano
